date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:36	68009/68009	---MCZ	200	added ('OK')	text/html	etag:W/%225bcceded-109a9%22	https://sequencediagram.org/	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/index.html	(from )
17:08:36	200/200	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Nov%202018%2016:08:37%20GMT	https://sequencediagram.org/robots.txt		(from )
17:08:37	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2257420e54-47e%22	https://sequencediagram.org/favicon.ico	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/favicon.ico	(from https://sequencediagram.org/)
17:08:37	4835/4835	---MCZ	200	added ('OK')	application/javascript	etag:W/%22598dc689-12e3%22	https://sequencediagram.org/libs/lz-string.min.js	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/lz-string.min.js	(from https://sequencediagram.org/)
17:08:39	18272/18272	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b0f0066-4760%22	https://sequencediagram.org/libs/canvas2svg.min.js	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/canvas2svg.min.js	(from https://sequencediagram.org/)
17:08:39	5872/5872	---MCZ	200	added ('OK')	text/css	etag:W/%225b0b0e81-16f0%22	https://sequencediagram.org/libs/codemirror.css	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/codemirror.css	(from https://sequencediagram.org/)
17:08:39	48272/48272	---M--	200	added ('OK')	image/png	etag:%22576e708d-bc90%22	http://sequencediagram.org/sequencediagramorg.png	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/sequencediagramorg.png	(from https://sequencediagram.org/)
17:08:40	165991/165991	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b0b0e7c-28867%22	https://sequencediagram.org/libs/codemirror.js	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/codemirror.js	(from https://sequencediagram.org/)
17:08:40	506/506	---M-Z	200	added ('OK')	text/css	etag:%221fa-56d357602a4db-gzip%22	https://sequencediagram.org/libs/show-hint.css	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/show-hint.css	(from https://sequencediagram.org/)
17:08:40	8602/8602	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b0b0e7a-219a%22	https://sequencediagram.org/libs/show-hint.js	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/show-hint.js	(from https://sequencediagram.org/)
17:08:40	1411/1411	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b0b0e7e-583%22	https://sequencediagram.org/libs/active-line.js	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/active-line.js	(from https://sequencediagram.org/)
17:08:41	7039/7039	---MCZ	200	added ('OK')	application/javascript	etag:W/%225aa40e34-1b7f%22	https://sequencediagram.org/libs/rbush.min.js	C:/My%20Web%20Sites/SequenceDiagram/sequencediagram.org/libs/rbush.min.js	(from https://sequencediagram.org/)
